country,GDP_per_capita,ICT goods exports,R_and_D_expenditure,doctorates_percent,high_technology_exports,industrial_design_applications,journal_articles,patent_applications,researchers_per_million
Arab World,7032.04809400795,1.03751019544593,,,,6351.0,41224.2239838877,2905.0,
Caribbean small states,9680.59535580379,0.385379998579268,,,,,446.7,,
Central Europe and the Baltics,13197.361657409,9.80580304722805,1.15188363085124,,63594000223.0,3917.0,89115.0,8044.0,2142.79065392361
Early-demographic dividend,3351.04755558263,5.76243642502042,,,,57897.0,272830.988630133,25927.0,
East Asia & Pacific,9800.85846310554,24.0334802868324,2.45554214309581,,,656557.0,716134.222166448,1403979.0,1671.12130107521
East Asia & Pacific (excluding high income),6475.8908109832,24.6634826563712,1.99244239676061,,,560532.0,448409.837367924,972679.0,1173.06990736149
East Asia & Pacific (IDA & IBRD countries),6544.7523897049,24.6634216690434,1.99244239676061,,,560532.0,448356.233731406,972679.0,1173.06990736149
Euro area,37584.2240267816,4.83082028044013,2.14298338954781,,494228409327.0,80360.0,424197.8,73502.0,3513.58021499819
Europe & Central Asia,24500.5806155591,4.51164786482193,1.92591635188865,,714188387955.0,144369.0,772776.927210157,141882.0,3067.04866964119
Europe & Central Asia (excluding high income),8755.19560782826,1.05675286628387,0.869552333091977,,22071615426.0,49418.0,118808.9,41046.0,
Europe & Central Asia (IDA & IBRD countries),9178.8948853343,2.26680091040658,0.89303606403811,,36278286567.0,49825.0,155973.5,45891.0,2118.99340951506
European Union,34610.1729023396,5.24083529975914,2.04738698905802,,639405020626.0,90805.0,635063.2,99418.0,3485.4150820148
Fragile and conflict affected situations,1624.40463000491,,,,,,4418.78716259122,,
Heavily indebted poor countries (HIPC),874.44374191986,0.507968769777304,,,,,6329.34017977855,,
High income,40924.6225691083,9.58478777894145,2.55966586728763,,1243557213110.0,216887.0,1463172.64371992,827814.0,
IBRD only,5746.54135464835,14.3019384477582,1.49247057986755,,823882988616.0,629021.0,878444.7,1040873.0,853.535079636641
IDA & IBRD total,4650.28458971115,13.8768521115974,1.46518317529294,,,633136.0,902383.42688285,1042387.0,
IDA blend,2018.58796060947,,,,,,14707.0,,
IDA only,994.621591523075,0.618189671344355,,,,,9232.25586315261,,
IDA total,1341.96480351422,,,,,,23938.8876208061,,
Late-demographic dividend,8496.64026852715,15.3682813593886,1.71759881981689,,762584439672.0,571144.0,648011.365530732,1015130.0,1376.66940059306
Latin America & Caribbean,9082.04088204506,6.22223547675538,,,,6838.0,95423.4897213081,7510.0,
Latin America & Caribbean (excluding high income),8462.58896690294,7.66704545250114,,,,5733.0,78431.2,6476.0,
